experiment,bin_label,arm_a,arm_b,b_a_only,c_b_only,p_value
exp1,default,BC,SAC+HER,95,9,2.985745088286603e-19
exp1,default,BC,SAC+HER (demo-seeded),0,10,0.001953125
exp1,default,SAC+HER,SAC+HER (demo-seeded),0,96,2.524354896707238e-29
exp2,r=0.05,BC,SAC+HER,60,0,1.734723475976807e-18
exp2,r=0.05,BC,SAC+HER (demo-seeded),0,2,0.5
exp2,r=0.05,SAC+HER,SAC+HER (demo-seeded),0,62,4.336808689942018e-19
exp2,r=0.10,BC,SAC+HER,52,3,1.5418777365994174e-12
exp2,r=0.10,BC,SAC+HER (demo-seeded),0,4,0.125
exp2,r=0.10,SAC+HER,SAC+HER (demo-seeded),0,53,2.220446049250313e-16
exp2,r=0.15,BC,SAC+HER,50,9,5.264832102225281e-08
exp2,r=0.15,BC,SAC+HER (demo-seeded),1,14,0.0009765625
exp2,r=0.15,SAC+HER,SAC+HER (demo-seeded),0,54,1.1102230246251565e-16
exp2,r=0.20,BC,SAC+HER,44,15,0.00020372185740785698
exp2,r=0.20,BC,SAC+HER (demo-seeded),0,36,2.9103830456733704e-11
exp2,r=0.20,SAC+HER,SAC+HER (demo-seeded),0,65,5.421010862427522e-20
exp2,r=0.25,BC,SAC+HER,31,11,0.002887247974285856
exp2,r=0.25,BC,SAC+HER (demo-seeded),0,60,1.734723475976807e-18
exp2,r=0.25,SAC+HER,SAC+HER (demo-seeded),3,83,2.7421554294015713e-21
exp2,r=0.30,BC,SAC+HER,10,7,0.629058837890625
exp2,r=0.30,BC,SAC+HER (demo-seeded),2,57,6.144390551909851e-15
exp2,r=0.30,SAC+HER,SAC+HER (demo-seeded),1,59,1.0581813203458523e-16
exp3,z=0.05,BC,SAC+HER,0,4,0.125
exp3,z=0.05,BC,SAC+HER (demo-seeded),0,4,0.125
exp3,z=0.05,SAC+HER,SAC+HER (demo-seeded),0,0,1.0
exp3,z=0.10,BC,SAC+HER,98,0,6.310887241768095e-30
exp3,z=0.10,BC,SAC+HER (demo-seeded),0,2,0.5
exp3,z=0.10,SAC+HER,SAC+HER (demo-seeded),0,100,1.5777218104420236e-30
exp3,z=0.15,BC,SAC+HER,96,0,2.524354896707238e-29
exp3,z=0.15,BC,SAC+HER (demo-seeded),0,4,0.125
exp3,z=0.15,SAC+HER,SAC+HER (demo-seeded),0,100,1.5777218104420236e-30
exp3,z=0.20,BC,SAC+HER,100,0,1.5777218104420236e-30
exp3,z=0.20,BC,SAC+HER (demo-seeded),0,0,1.0
exp3,z=0.20,SAC+HER,SAC+HER (demo-seeded),0,100,1.5777218104420236e-30
exp3,z=0.25,BC,SAC+HER,93,0,2.0194839173657902e-28
exp3,z=0.25,BC,SAC+HER (demo-seeded),0,7,0.015625
exp3,z=0.25,SAC+HER,SAC+HER (demo-seeded),0,100,1.5777218104420236e-30
exp3,z=0.30,BC,SAC+HER,72,0,4.235164736271502e-22
exp3,z=0.30,BC,SAC+HER (demo-seeded),2,27,1.6242265701293945e-06
exp3,z=0.30,SAC+HER,SAC+HER (demo-seeded),0,97,1.262177448353619e-29
exp3,z=0.35,BC,SAC+HER,8,0,0.0078125
exp3,z=0.35,BC,SAC+HER (demo-seeded),0,88,6.462348535570529e-27
exp3,z=0.35,SAC+HER,SAC+HER (demo-seeded),0,96,2.524354896707238e-29
